IATA,LATITUDE,LONGITUDE,TIMEZONE
GKA,-6.081689834590001,145.391998291,10
MAG,-5.20707988739,145.789001465,10
HGU,-5.826789855957031,144.29600524902344,10
LAE,-6.569803,146.725977,10
POM,-9.443380355834961,147.22000122070312,10
WWK,-3.58383011818,143.669006348,10
UAK,61.1604995728,-45.4259986877,-3
GOH,64.19090271,-51.6781005859,-3
SFJ,67.0122218992,-50.7116031647,-3
THU,76.5311965942,-68.7032012939,-4
AEY,65.66000366210938,-18.07270050048828,0
EGS,65.2833023071289,-14.401399612426758,0
HFN,64.295601,-15.2272,0
HZK,65.952301,-17.426001,0
IFJ,66.05809783935547,-23.135299682617188,0
KEF,63.985000610352,-22.605600357056,0
PFJ,65.555801,-23.965,0
RKV,64.1299972534,-21.9405994415,0
SIJ,66.133301,-18.9167,0
VEY,63.42430114746094,-20.278900146484375,0
YAM,46.48500061035156,-84.5093994140625,-5
YAV,50.0564002991,-97.03250122070001,-6
YAW,44.6397018433,-63.499401092499994,-4
YAY,51.3918991089,-56.083099365200006,-3.5
YAZ,49.079833,-125.775583,-8
YBB,68.534401,-89.808098,-7
YBC,49.13249969482422,-68.20439910888672,-5
YBG,48.33060073852539,-70.99639892578125,-5
YBK,64.29889678960001,-96.077796936,-6
YBL,49.950801849365234,-125.27100372314453,-8
YBR,49.91,-99.951897,-6
YCB,69.1081008911,-105.138000488,-7
YCD,49.054970224899996,-123.869862556,-8
YCG,49.2963981628,-117.632003784,-8
YCH,47.007801,-65.449203,-4
YCL,47.990799,-66.330299,-4
YCO,67.81670379639999,-115.143997192,-7
YCT,52.0750007629,-111.444999695,-7
YCW,49.1528015137,-121.939002991,-8
YCY,70.4860992432,-68.5167007446,-5
YZS,64.1932983398,-83.3593978882,-5
YDA,64.04309844970703,-139.1280059814453,-8
YDB,61.37110137939453,-139.04100036621094,-8
YDC,49.4681015015,-120.511001587,-8
YDF,49.21080017089844,-57.39139938354492,-3.5
YDL,58.4221992493,-130.031997681,-8
YDN,51.100799560546875,-100.052001953125,-6
YDQ,55.7422981262207,-120.18299865722656,-7
YEG,53.309700012200004,-113.580001831,-7
YEK,61.0942001343,-94.07080078119999,-6
YEN,49.2103004456,-102.966003418,-6
YET,53.578899383499994,-116.464996338,-7
YEU,79.9946975708,-85.814201355,-6
YEV,68.30419921880001,-133.483001709,-7
YFB,63.756401062,-68.5558013916,-5
YFC,45.868900299072266,-66.53720092773438,-4
.,48.74610137939453,-69.09719848632812,-5
YFO,54.6781005859375,-101.68199920654297,-6
YFR,61.1808013916,-113.690002441,-7
YFS,61.76020050048828,-121.23699951171875,-7
YGK,44.22529983520508,-76.5969009399414,-5
YGL,53.625301361083984,-77.7042007446289,-5
YGP,48.7752990723,-64.4785995483,-5
YGQ,49.77830123901367,-86.93939971923828,-5
YGR,47.42470169067383,-61.778099060058594,-5
YHB,52.8166999817,-102.310997009,-6
YHD,49.83169937133789,-92.74420166015625,-6
YHI,70.76280212402344,-117.80599975585938,-7
YHK,68.635597229,-95.84970092770001,-7
YHM,43.173599243199995,-79.93499755859999,-5
YHU,45.5175018311,-73.4169006348,-5
YHY,60.8396987915,-115.782997131,-7
YHZ,44.8807983398,-63.5085983276,-4
YIB,48.7738990784,-91.6386032104,-5
YIO,72.6832962036,-77.9666976929,-5
YJN,45.29439926147461,-73.28109741210938,-5
YJT,48.5442008972168,-58.54999923706055,-3.5
YKA,50.7022018433,-120.444000244,-8
YKF,43.460800170899994,-80.3786010742,-5
YKL,54.805301666259766,-66.8052978515625,-5
YKY,51.5175018311,-109.180999756,-6
YKZ,43.86220169067383,-79.37000274658203,-5
YLD,47.81999969482422,-83.3467025756836,-5
YLJ,54.125301361083984,-108.52300262451172,-6
YLL,53.309200286865234,-110.072998046875,-7
YLT,82.51779937740001,-62.2806015015,-5
YLW,49.9561004639,-119.377998352,-8
YMA,63.61640167236328,-135.8679962158203,-8
YMJ,50.330299377441406,-105.55899810791016,-6
YMM,56.653301239,-111.222000122,-7
YMO,51.291099548339844,-80.60780334472656,-5
YMW,46.2728004456,-75.9906005859,-5
YMX,45.6795005798,-74.0386962891,-5
YNA,50.189998626708984,-61.78919982910156,-5
YND,45.521701812699995,-75.5635986328,-5
YNM,49.76169967651367,-77.80280303955078,-5
