ORIGIN,DESTINATION,BEGIN_DATE,END_DATE
AAL,AMS,2018-04-04 18:20:00,2018-04-04 19:45:00
AAL,AMS,2018-04-11 18:20:00,2018-04-11 19:45:00
AAL,AMS,2018-04-27 14:05:00,2018-04-27 15:30:00
AAR,CPH,2018-04-06 09:20:00,2018-04-06 10:00:00
AAR,CPH,2018-04-09 13:15:00,2018-04-09 13:55:00
AAR,CPH,2018-04-09 15:50:00,2018-04-09 16:30:00
ABJ,BKO,2018-04-01 12:20:00,2018-04-01 14:00:00
ABJ,BKO,2018-04-10 12:20:00,2018-04-10 14:00:00
ABJ,BRU,2018-04-06 22:00:00,2018-04-07 06:40:00
ABJ,BRU,2018-04-10 22:00:00,2018-04-11 06:40:00
ABJ,BRU,2018-04-17 22:00:00,2018-04-18 06:40:00
ABJ,BRU,2018-04-19 19:45:00,2018-04-20 06:40:00
ABJ,BRU,2018-04-20 22:00:00,2018-04-21 06:40:00
ABJ,BRU,2018-05-03 19:45:00,2018-05-04 06:40:00
ABJ,BRU,2018-05-04 22:00:00,2018-05-05 06:40:00
ABJ,BRU,2018-11-21 20:05:00,2018-11-22 05:10:00
ABJ,BZV,2018-06-15 19:30:00,2018-06-16 01:15:00
ABJ,CDG,2018-04-03 22:35:00,2018-04-04 07:00:00
ABJ,CDG,2018-04-06 22:35:00,2018-04-07 07:00:00
ABJ,CDG,2018-04-08 22:35:00,2018-04-09 07:00:00
ABJ,CDG,2018-04-09 22:35:00,2018-04-10 07:00:00
ABJ,CDG,2018-04-11 22:35:00,2018-04-12 07:00:00
ABJ,CDG,2018-04-12 22:35:00,2018-04-13 07:00:00
ABJ,CDG,2018-04-13 22:35:00,2018-04-14 07:00:00
ABJ,CDG,2018-04-14 22:35:00,2018-04-15 07:00:00
ABJ,CDG,2018-04-16 22:35:00,2018-04-17 07:00:00
ABJ,CDG,2018-04-17 22:35:00,2018-04-18 07:00:00
ABJ,CDG,2018-04-18 22:35:00,2018-04-19 07:00:00
ABJ,CDG,2018-04-19 18:55:00,2018-04-20 06:10:00
ABJ,CDG,2018-04-19 22:35:00,2018-04-20 07:00:00
ABJ,CDG,2018-04-20 22:35:00,2018-04-21 07:00:00
ABJ,CDG,2018-04-21 22:35:00,2018-04-22 07:00:00
